NettingSetId,NettingName,NettingType,CounterpartyId,Collateral,MTA,InputCurrency
1662_A_Unmargined,VM CSA Eng,Margined,cpty67,-2406942,200000,EUR
16678_A_Unmargined,CSA,Margined,cpty68,870000,500000,USD
1670_A_Unmargined,VM CSA Eng,Margined,cpty69,460000,400000,USD
16753_A_VM CSA Eng,VM CSA Eng,Margined,cpty70,29530000,100000,USD
1685_B_VM CSA Eng,VM CSA NY,Margined,cpty71,1000000,250000,USD
1699_A_Unmargined,VM CSA Eng,Margined,cpty72,-580000,250000,USD
170_B_VM CSA Eng,VM CSA NY,Margined,cpty73,100000,250000,USD
17056_A_VM CSA NY,VM CSA NY,Margined,cpty74,-282195,250000,USD
17101_A_Unmargined,VM CSA NY,Margined,cpty75,50000,250000,USD
17112_A_Unmargined,VM CSA NY,Margined,cpty76,9173756,500000,USD
17212_A_Unmargined,VM CSA Eng,Margined,cpty77,1960000,100000,USD
1725_A_Unmargined,CSA,Margined,cpty78,380000,250000,USD
17354_A_Unmargined,VM CSA NY,Margined,cpty79,20000,50000,USD
175_D_VM CSA Eng,VM CSA NY,Margined,cpty13,1396000,250000,USD
175_C_IM CSD Eng,VM CSA Eng,Margined,cpty14,2791479,250000,AUD
17509_A_VM CSA Eng,VM CSA Eng,Margined,cpty15,-2400000,75000,USD
17564_C_VM CSA Eng,VM CSA Eng,Margined,cpty16,60000,20000,USD
1758_B_VM CSA Eng,VM CSA Eng,Margined,cpty17,320000,250000,USD
17589_A_VM CSA Eng,VM CSA Eng,Margined,cpty18,-940104,250000,GBP
17608_A_Unmargined,VM CSA NY,Margined,cpty19,-1856000,150000,USD
1768_C_CSA,VM CSA Eng,Margined,cpty20,-79475,25000,EUR
17687_A_Unmargined,VM CSA NY,Margined,cpty21,-838707,25000000,JPY
177_A_Unmargined,VM CSA Eng,Margined,cpty22,102145,25000,EUR
1775_A_Unmargined,CSA,Margined,cpty23,2377824,100000,USD
178_A_Unmargined,VM CSA Eng,Margined,cpty24,270000,250000,USD
1782_A_Unmargined,VM CSA Eng,Margined,cpty25,16927,5000000,INR
1784_A_Unmargined,CSA,Margined,cpty26,1450000,500000,USD
17884_A_Unmargined,VM CSA Eng,Margined,cpty27,-980000,250000,USD
1789_A_Unmargined,VM CSA NY,Margined,cpty28,-520000,100000,USD
1794_A_VM CSA Eng,VM CSA Eng,Margined,cpty29,2023863,200000,CHF
17941_A_Unmargined,VM CSA NY,Margined,cpty30,-1050000,300000,USD
17956_C_CSM,CSA,Margined,cpty31,-681210,100000,EUR
1796_A_VM CSA Eng,VM CSA Eng,Margined,cpty32,690000,400000,USD
1799_C_VM CSA Eng,VM CSA Eng,Margined,cpty33,120000,100000,USD
18_C_VM CSA Eng,VM CSA Eng,Margined,cpty34,754802,250000,CAD
1803_A_VM CSA Eng,VM CSA Eng,Margined,cpty35,-90000,250000,USD
18033_A_Unmargined,VM CSA NY,Margined,cpty36,80000,100000,USD
1820_A_VM CSA Eng,VM CSA NY_2,Margined,cpty37,-150000,100000,USD
18247_A_Unmargined,VM CSA Eng,Margined,cpty38,2880000,250000,USD
1831_A_VM CSA Eng,VM CSA Eng,Margined,cpty39,290000,250000,USD
18343_A_Unmargined,VM CSA Eng,Margined,cpty40,290000,250000,USD
184_A_Unmargined,VM CSA Eng,Margined,cpty41,-235026,20000,GBP
18496_A_Unmargined,VM CSA Eng,Margined,cpty42,130570,20000,GBP
18512_A_Unmargined,CSA,Margined,cpty43,23432489,500000,USD
18576_A_CSA_INT_FX,VM CSA Eng,Margined,cpty44,-744249,20000,GBP
1881_A_Unmargined,VM CSA Eng,Margined,cpty45,-2991,50000,USD
1898_A_Unmargined,VM CSA Eng,Margined,cpty46,60000,50000,USD
190_A_VM CSA Eng,VM CSA Eng,Margined,cpty47,-510529,250000,EUR
190_B_CSA,VM CSA NY,Margined,cpty48,130000,100000,USD
1902_A_Unmargined,CSA,Margined,cpty49,-454140,500000,EUR
1918_A_Unmargined,VM CSA Eng,Margined,cpty50,6979461,100000,GBP
192_B_VM CSA NY,CSA,Margined,cpty51,1930000,250000,USD
193_C_VM CSA Eng,VM CSA Eng,Margined,cpty52,100000,50000,USD
193_A_Unmargined,VM CSA Eng,Margined,cpty53,520000,250000,USD
193_B_CSA,VM CSA Eng,Margined,cpty54,23212231,100000,USD
1940_A_Unmargined,VM CSA Eng,Margined,cpty55,880000,50000,USD
1944_B_VM CSA NY,VM CSA Eng,Margined,cpty56,404767,50000,GBP
1947_A_CSA,VM CSA NY,Margined,cpty57,460000,25000,USD
1952_C_VM CSA Eng,VM CSA Eng,Margined,cpty58,-290000,25000,USD
1953_A_Unmargined,VM CSA Eng,Margined,cpty59,60000,25000,USD
1957_A_Unmargined,VM CSA Eng,Margined,cpty60,1500000,250000,USD
197_A_Unmargined,VM CSA Eng,Margined,cpty61,-919634,200000,EUR
199_B_VM CSA Eng,VM CSA Eng,Margined,cpty62,-7743087,200000,EUR
2004_A_Unmargined,VM CSA Eng,Margined,cpty63,-3281162,200000,EUR
2008_A_Unmargined,VM CSA Eng,Margined,cpty64,-794745,200000,EUR
2035_A_Unmargined,VM CSA Eng,Margined,cpty65,1360000,250000,USD
206_G_VM CSA Eng,VM CSA Eng,Margined,cpty66,-3633120,200000,EUR
206_F_IM CSD Eng,VM CSA Eng,Margined,cpty67,-283838,200000,EUR
206_D_VM CSA Eng,CSA,Margined,cpty68,563925,500000,USD
2070_A_Unmargined,VM CSA Eng,Margined,cpty69,254849,1900000,HKD
2076_A_Unmargined,VM CSA Eng,Margined,cpty70,292000,200000,CHF
212_C_VM CSA Eng,VM CSA Eng,Margined,cpty71,1270000,250000,USD
2127_A_Unmargined,VM CSA NY,Margined,cpty72,192054043,250000,USD
2136_A_VM CSA Eng,VM CSA Eng,Margined,cpty73,-20000,100000,USD
2137_C_CSA,VM CSA Eng,Margined,cpty74,740000,100000,USD
2137_A_Unmargined,CSA,Margined,cpty75,840000,200000,USD
2137_E_VM CSA Eng,VM CSA Eng,Margined,cpty76,1140000,250000,USD
2137_H_VM CSA Eng,CSA,Margined,cpty77,-1672584,15000000,THB
2137_F_CSA,CSA,Margined,cpty78,260000,250000,USD
2137_I_CSA,VM CSA Eng,Margined,cpty79,-250000,100000,USD
2160_C_VM CSA Eng,CSA,Margined,cpty13,1531587,100000,USD
2199_A_Unmargined,VM CSA Eng,Margined,cpty14,11220000,100000,USD
222_B_VM CSA Eng,VM CSA Eng,Margined,cpty15,140000,20000,USD
2231_B_VM CSA Eng,VM CSA Eng,Margined,cpty16,-10737,0,USD
2245_A_Unmargined,VM CSA Eng,Margined,cpty17,20000,50000,USD
2309_A_Unmargined,VM CSA Eng,Margined,cpty18,-1404000,250000,CAD
2351_A_Unmargined,CSA,Margined,cpty19,-505545,100000,USD
24_A_Unmargined,VM CSA Eng,Margined,cpty20,-1900000,150000,USD
241_A_Unmargined,CSA,Margined,cpty21,-61965000,250000,USD
2458_A_Unmargined,CSA,Margined,cpty22,-268091,100000,USD
2467_A_Unmargined,CSA,Margined,cpty23,-316612,100000,USD
2473_A_Unmargined,VM CSA Eng,Margined,cpty24,117513,50000,GBP
2484_A_Unmargined,VM CSA Eng,Margined,cpty25,68536,50000,USD
2486_A_Unmargined,VM CSA Eng,Margined,cpty26,-1122640,250000,USD
2493_B_VM CSA Eng,VM CSA NY,Margined,cpty27,-4750000,250000,USD
2497_A_Unmargined,VM CSA Eng,Margined,cpty28,0,250000,USD
2519_A_Unmargined,CSA,Margined,cpty29,38622900,100000,USD
2529_A_VM CSA Eng,VM CSA NY,Margined,cpty30,-1020000,300000,USD
2529_B_CSA,VM CSA Eng,Margined,cpty31,-60000,50000,USD
2532_A_Unmargined,VM CSA Eng,Margined,cpty32,-13520000,100000,USD
2538_A_Unmargined,VM CSA Eng_2,Margined,cpty33,-150000,100000,USD
2542_A_Unmargined,VM CSA Eng,Margined,cpty34,-330000,100000,USD
255_A_VM CSA Eng,VM CSA NY,Margined,cpty35,-1839290,250000,USD
2566_A_Unmargined,VM CSA NY,Margined,cpty36,1340000,250000,USD
2592_A_Unmargined,VM CSA Eng,Margined,cpty37,147596,50000,EUR
2608_A_Unmargined,VM CSA Eng,Margined,cpty38,3112240,6800000,INR
264_A_Unmargined,VM CSA NY,Margined,cpty39,-290000,250000,USD
2668_A_Unmargined,VM CSA Eng,Margined,cpty40,-9675237,250000,GBP
277_A_VM CSA Eng,VM CSA NY,Margined,cpty41,160000,50000,USD
2771_A_Unmargined,VM CSA NY,Margined,cpty42,-1260000,50000,USD
2831_A_Unmargined,CSA,Margined,cpty43,-4326861,250000,BRL
288_G_VM CSA NY,VM CSA Eng,Margined,cpty44,-280000,250000,USD
2895_A_Unmargined,VM CSA NY,Margined,cpty45,310000,50000,USD
291_A_VM CSA Eng,VM CSA Eng,Margined,cpty46,840159,400000,EUR
2912_A_Unmargined,VM CSA Eng,Margined,cpty47,260000,250000,USD
2925_A_Unmargined,VM CSA NY,Margined,cpty48,240000,25000,USD
2954_A_Unmargined,VM CSA NY,Margined,cpty49,267973,50000,USD
2955_A_Unmargined,VM CSA Eng,Margined,cpty50,-110000,100000,USD
2974_A_Unmargined,VM CSA Eng,Margined,cpty51,-210000,50000,USD
3017_B_VM CSA Eng,VM CSA Eng,Margined,cpty52,330000,250000,USD
3036_A_Unmargined,VM CSA Eng,Margined,cpty53,630000,250000,USD
3145_A_Unmargined,CSA,Margined,cpty54,3220000,1000000,USD
3198_A_VM CSA Eng,VM CSA Eng,Margined,cpty55,52228,25000,GBP
32_A_CSA,VM CSA NY,Margined,cpty56,210000,50000,USD
3247_A_VM CSA Eng,VM CSA Eng,Margined,cpty57,-828806,250000,EUR
3268_A_Unmargined,VM CSA NY,Margined,cpty58,110000,0,USD
3289_A_Unmargined,VM CSA NY_2,Margined,cpty59,-153222,0,USD
3328_A_Unmargined,VM CSA Eng,Margined,cpty60,11523803,50000,EUR
3405_A_VM CSA Eng,VM CSA NY,Margined,cpty61,30000,25000,USD
3427_A_Unmargined,VM CSA NY,Margined,cpty62,-290000,250000,USD
3480_A_Unmargined,VM CSA Eng,Margined,cpty63,567675,250000,EUR
3509_A_Unmargined,VM CSA Eng,Margined,cpty64,306545,250000,EUR
3633_A_Unmargined,VM CSA NY,Margined,cpty65,-410000,0,USD
375_A_Unmargined,VM CSA Eng,Margined,cpty66,30000,0,USD
38_A_Unmargined,VM CSA Eng,Margined,cpty67,-205987,250000,AUD
381_A_Unmargined,VM CSA Eng,Margined,cpty68,-34061,25000,EUR
3850_A_Unmargined,VM CSA Eng,Margined,cpty69,249562,25000,USD
3858_A_Unmargined,VM CSA Eng,Margined,cpty70,233702,25000,USD
3933_C_CSA,CSA,Margined,cpty71,2970000,200000,USD
4039_A_Unmargined,VM CSA NY,Margined,cpty72,-154053,450000,USD
4207_A_Unmargined,VM CSA Eng,Margined,cpty73,160000,50000,USD
4208_A_VM CSA NY,VM CSA Eng,Margined,cpty74,-1524041,100000,USD
4307_A_Unmargined,VM CSA Eng,Margined,cpty75,-1532711,100000,USD
4322_A_Unmargined,VM CSA Eng,Margined,cpty76,7390000,250000,USD
4325_A_Unmargined,VM CSA NY,Margined,cpty77,-6510000,1000000,USD
4327_A_Unmargined,VM CSA Eng,Margined,cpty78,0,50000,USD
4330_A_Unmargined,VM CSA NY,Margined,cpty79,-310000,250000,USD
4384_A_Unmargined,VM CSA Eng,Margined,cpty13,352539,250000,GBP
4392_A_Unmargined,VM CSA Eng,Margined,cpty14,270000,250000,USD
4404_A_Unmargined,CSA,Margined,cpty15,260000,250000,USD
443_A_VM CSA Eng,CSA,Margined,cpty16,-2780000,75000,USD
4434_A_Unmargined,VM CSA Eng,Margined,cpty17,-280000,75000,USD
4484_A_Unmargined,VM CSA Eng,Margined,cpty18,-5550000,75000,USD
4493_A_Unmargined,No Calls,Margined,cpty19,83734418,0,USD
4505_A_Unmargined,VM CSA Eng,Margined,cpty20,-310000,250000,USD
462_A_Unmargined,No Calls,Margined,cpty21,0,0,GBP
4672_A_Unmargined,No Calls,Margined,cpty22,49137771,0,USD
481_C_VM CSA Eng,No Calls,Margined,cpty23,12200000,0,USD
483_A_CSA,No Calls,Margined,cpty24,12047834,0,USD
484_B_IM CSD Eng,No Calls,Margined,cpty25,18021129,0,USD
492_B_VM CSA Eng,No Calls,Margined,cpty26,15451990,0,USD
4923_A_Unmargined,No Calls,Margined,cpty27,15451990,0,USD
5166_A_Unmargined,No Calls,Margined,cpty28,0,0,USD
518_D_VM CSA NY,No Calls,Margined,cpty29,15009228,0,USD
5276_A_Unmargined,No Calls,Margined,cpty30,34123432,0,USD
5292_A_Unmargined,CSA,Margined,cpty31,0,500000,USD
5309_A_VM CSA NY,No Calls,Margined,cpty32,0,0,CNY
532_B_VM CSA Eng,No Calls,Margined,cpty33,29519100,0,CNY
5346_A_Unmargined,No Calls,Margined,cpty34,-102181500,0,CNY
5415_A_Unmargined,No Calls,Margined,cpty35,0,0,CNY
5416_A_VM CSA NY,No Calls,Margined,cpty36,0,0,CNY
547_A_IM CSA NY,No Calls,Margined,cpty37,0,0,CNY
5617_A_Unmargined,No Calls,Margined,cpty38,6000000,0,CNY
566_B_VM CSA Eng,No Calls,Margined,cpty39,10000000,0,CNY
567_A_Unmargined,No Calls,Margined,cpty40,15000000,0,CNY
5744_A_Unmargined,No Calls,Margined,cpty41,0,0,CNY
575_B_VM CSA Eng,CSA,Margined,cpty42,-400000,250000,USD
576_A_Unmargined,No Calls,Margined,cpty43,0,0,CNY
577_A_Unmargined,No Calls,Margined,cpty44,25000000,0,CNY
579_A_CSA,No Calls,Margined,cpty45,25000000,0,CNY
5852_A_VM CSA NY,No Calls,Margined,cpty46,0,0,CNY
587_B_CSA,No Calls,Margined,cpty47,0,0,CNY
595_A_Unmargined,No Calls,Margined,cpty48,0,0,CNY
5966_A_Unmargined,No Calls,Margined,cpty49,39290000,0,CNY
602_A_Unmargined,No Calls,Margined,cpty50,0,0,CNY
607_A_Unmargined,No Calls,Margined,cpty51,10298661,0,CNY
612_A_CSA,No Calls,Margined,cpty52,0,0,CNY
613_D_CSA,CSA,Margined,cpty53,-16830000,1000000,USD
616_A_Unmargined,No Calls,Margined,cpty54,10000000,0,CNY
617_E_CSA,No Calls,Margined,cpty55,15000000,0,CNY
619_B_IM CSA NY,No Calls,Margined,cpty56,5000000,0,CNY
6201_A_CSA,No Calls,Margined,cpty57,0,0,CNY
621_D_VM CSA Eng,No Calls,Margined,cpty58,0,0,CNY
637_B_VM CSA Eng,No Calls,Margined,cpty59,25000000,0,CNY
6439_A_Unmargined,No Calls,Margined,cpty60,30000000,0,CNY
645_C_VM CSA Eng,No Calls,Margined,cpty61,20000000,0,CNY
647_B_VM CSA Eng,No Calls,Margined,cpty62,0,0,CNY
6495_A_CSA,No Calls,Margined,cpty63,0,0,CNY
6532_A_Unmargined,VM CSA NY,Margined,cpty64,3597000,250000,USD
6544_A_Unmargined,VM CSA NY,Margined,cpty65,590000,250000,USD
6631_A_Unmargined,No Calls,Margined,cpty66,0,0,CNY
674_A_Unmargined,No Calls,Margined,cpty67,84000000,0,CNY
675_A_Unmargined,No Calls,Margined,cpty68,39700000,0,CNY
6779_B_CSA,No Calls,Margined,cpty69,26527247,0,USD
6781_A_Unmargined,No Calls,Margined,cpty70,0,0,USD
6788_A_Unmargined,No Calls,Margined,cpty71,43427366,0,USD
679_B_VM CSA Eng,No Calls,Margined,cpty72,0,1000000,USD
6798_A_Unmargined,VM CSA Eng,Margined,cpty73,5160000,200000,USD
681_A_Unmargined,CSA,Margined,cpty74,7255940,250000,MYR
682_C_VM CSA Eng,VM CSA Eng,Margined,cpty75,25710000,100000,USD
700_A_Unmargined,CSA,Margined,cpty76,-40620000,250000,USD
7035_A_VM CSA Eng,VM CSA NY,Margined,cpty77,-35400000,100000,USD
710_A_VM CSA Eng,CSA,Margined,cpty78,-103813844,0,EUR
716_A_Unmargined,CSA,Margined,cpty79,280000,100000,USD
734_A_Unmargined,VM CSA Eng,Margined,cpty13,47,250000,USD
736_A_Unmargined,VM CSA Eng,Margined,cpty14,-3190000,100000,USD
744_A_Unmargined,CSA,Margined,cpty15,50990000,100000,USD
747_C_VM CSA Eng,VM CSA NY,Margined,cpty16,14274043,250000,USD
7521_A_VM CSA Eng,VM CSA NY,Margined,cpty17,2890000,250000,USD
760_C_VM CSA Eng,VM CSA Eng,Margined,cpty18,-6640000,100000,USD
762_B_VM CSA Eng,VM CSA NY,Margined,cpty19,-2910000,0,USD
7636_B_VM CSA NY,VM CSA Eng,Margined,cpty20,893396,250000,USD
7643_A_Unmargined,CSA,Margined,cpty21,-149179263,1000000,USD
767_A_Unmargined,VM CSA Eng,Margined,cpty22,19534394,0,USD
772_D_VM CSA Eng,CSA,Margined,cpty23,-7550000,1000000,USD
7754_A_Unmargined,VM CSA Eng,Margined,cpty24,13160000,200000,USD
778_A_Unmargined,VM CSA Eng,Margined,cpty25,-4920000,300000,USD
779_A_VM CSA NY,VM CSA Eng,Margined,cpty26,-760000,250000,USD
7801_A_Unmargined,VM CSA Eng,Margined,cpty27,15243967,300000,USD
79_A_Unmargined,VM CSA Eng,Margined,cpty28,820000,100000,USD
7934_A_Unmargined,VM CSA Eng,Margined,cpty29,9150000,250000,USD
795_D_VM CSA NY,VM CSA Eng,Margined,cpty30,101707,10000000,INR
799_C_VM CSA Eng,VM CSA Eng,Margined,cpty31,23569149,250000,USD
802_A_Unmargined,CSA,Margined,cpty32,17,200000,USD
804_A_Unmargined,CSA,Margined,cpty33,18597033,1000000,USD
809_A_VM CSA Eng,CSA,Margined,cpty34,61,100000,USD
828_B_VM CSA Eng,VM CSA Eng,Margined,cpty35,-20000,250000,USD
833_C_VM CSA Eng,VM CSA Eng,Margined,cpty36,-4000000,250000,USD
835_A_Unmargined,VM CSA Eng,Margined,cpty37,720000,250000,USD
8356_A_VM CSA Eng,VM CSA Eng,Margined,cpty38,-6889716,100000,USD
8400_A_Unmargined,VM CSA Eng,Margined,cpty39,-5830728,17000000,INR
851_A_VM CSA NY,VM CSA NY,Margined,cpty40,-860000,250000,USD
8520_A_Unmargined,CSA,Margined,cpty41,-50000,100000,USD
863_A_Unmargined,VM CSA Eng,Margined,cpty42,1160000,250000,USD
8695_A_VM CSA NY,CSA,Margined,cpty43,-83939071,5000000,USD
878_A_Unmargined,VM CSA Eng,Margined,cpty44,14770000,0,USD
8915_A_Unmargined,VM CSA NY,Margined,cpty45,26200000,100000,USD
8936_A_VM CSA Eng,CSA,Margined,cpty46,-4439219,500000,EUR
8938_A_VM CSA NY,VM CSA Eng,Margined,cpty47,40725005,100000,EUR
8939_A_VM CSA NY,VM CSA Eng,Margined,cpty48,-117239,40000000,JPY
899_A_VM CSA Eng,VM CSA Eng,Margined,cpty49,28590000,100000,USD
899_C_VM CSA Eng,VM CSA Eng,Margined,cpty50,130000,250000,USD
9_A_VM CSA Eng,VM CSA Eng_2,Margined,cpty51,-31070000,250000,USD
900_A_Unmargined,VM CSA NY,Margined,cpty52,450000,250000,USD
902_A_Unmargined,CSA,Margined,cpty53,2230000,500000,USD
907_A_Unmargined,CSA,Margined,cpty54,86175,250000,MYR
9238_A_VM CSA Eng,VM CSA Eng,Margined,cpty55,2770000,100000,USD
935_A_Unmargined,VM CSA Eng,Margined,cpty56,-2059525,250000,USD
9362_A_Unmargined,CSA,Margined,cpty57,-114500000,1000000,USD
947_A_Unmargined,VM CSA Eng,Margined,cpty58,20630000,0,USD
9543_E_CSA,VM CSA NY,Margined,cpty59,-260000,250000,USD
980_A_Unmargined,VM CSA Eng,Margined,cpty60,2286095,250000,USD
9845_A_Unmargined,CSA,Margined,cpty61,661097,1000000,INR
987_A_Unmargined,CSA,Margined,cpty62,61886508,1135100,USD
10341_A_CSA,VM CSA Eng,Margined,cpty63,25238831,350000,EUR
10363_A_Unmargined,VM CSA Eng,Margined,cpty64,-2950000,250000,USD
104_A_Unmargined,CSA,Margined,cpty65,-319404929,1000000,USD
10407_A_CSA_INT_FX,VM CSA Eng,Margined,cpty66,89530000,100000,USD
1100_A_VM CSA Eng,VM CSA Eng,Margined,cpty67,-2205063,100000,SGD
1101_A_Unmargined,VM CSA Eng,Margined,cpty68,-270000,250000,USD
1118_A_Unmargined,VM CSA Eng,Margined,cpty69,-919634,250000,EUR
11313_A_CSA,VM CSA Eng,Margined,cpty70,140000,250000,USD
11649_A_Unmargined,VM CSA Eng,Margined,cpty71,10660000,250000,USD
121_A_CSA,VM CSA Eng,Margined,cpty72,-124559249,200000,EUR
1250_A_Unmargined,VM CSA Eng,Margined,cpty73,-46010000,0,USD
12528_A_Unmargined,VM CSA Eng,Margined,cpty74,5744689,40000000,JPY
12571_A_Unmargined,CSA,Margined,cpty75,-127230000,100000,USD
12788_A_Unmargined,VM CSA Eng,Margined,cpty76,-35239996,100000,USD
1286_A_Unmargined,CSA,Margined,cpty77,0,500000,USD
12862_A_Unmargined,VM CSA Eng,Margined,cpty78,68121,100000,EUR
12921_B_VM CSA Eng,CSA,Margined,cpty79,270000,100000,USD
1328_C_IM CSD Eng,VM CSA NY,Margined,cpty13,960952,100000,USD
13364_A_Unmargined,VM CSA NY,Margined,cpty14,-50000,400000,USD
13365_A_Unmargined,CSA,Margined,cpty15,-3210000,500000,USD
13728_A_Unmargined,VM CSA NY,Margined,cpty16,-9738070,100000,USD
13730_A_VM CSA NY,VM CSA Eng,Margined,cpty17,-5608629,250000,EUR
14584_A_Unmargined,VM CSA Eng,Margined,cpty18,-9219042,250000,USD
14785_A_Unmargined,CSA,Margined,cpty19,-3905718,1000000,USD
15_A_CSA,VM CSA Eng,Margined,cpty20,3590000,250000,USD
1529_A_Unmargined,CSA,Margined,cpty21,-650382,250000,USD
15336_A_Unmargined,VM CSA Eng,Margined,cpty22,-905902,250000,USD
15373_C_CSA_INT_FX,VM CSA Eng,Margined,cpty23,-3291698,25000000,JPY
1552_A_VM CSA NY,No Calls,Margined,cpty24,640000,250000,USD
15850_A_VM CSA Eng,CSA,Margined,cpty25,2563665,250000,USD
15870_A_VM CSA Eng,VM CSA Eng,Margined,cpty26,363312,250000,EUR
1605_C_VM CSA Eng,CSA,Margined,cpty27,0,100000,USD
16086_A_Unmargined,VM CSA NY,Margined,cpty28,-1140000,250000,USD
16089_A_Unmargined,VM CSA Eng,Margined,cpty29,700000,300000,USD
16556_A_VM CSA Eng,VM CSA Eng,Margined,cpty30,3760000,250000,USD
16564_A_VM CSA Eng,VM CSA Eng,Margined,cpty31,-5073067,250000,USD
16566_A_VM CSA Eng,CSA,Margined,cpty32,210000,100000,USD
16568_A_VM CSA Eng,VM CSA NY,Margined,cpty33,-441899,40000000,JPY
16569_A_VM CSA Eng,CSA,Margined,cpty34,-7300000,100000,USD
16571_A_VM CSA Eng,VM CSA Eng,Margined,cpty35,2480000,250000,USD
16578_A_VM CSA Eng,CSA,Margined,cpty36,1550000,250000,USD
16600_A_VM CSA Eng,CSA,Margined,cpty37,0,100000,USD
16602_A_VM CSA Eng,CSA,Margined,cpty38,3760000,100000,USD
1667_A_VM CSA Eng,VM CSA Eng,Margined,cpty39,2110000,0,USD
17247_A_Unmargined,VM CSA Eng,Margined,cpty40,13080000,250000,USD
17464_B_CSM,VM CSA Eng,Margined,cpty41,1816560,250000,EUR
175_J_VM CSA NY,VM CSA Eng,Margined,cpty42,204000,500000,EUR
17732_A_Unmargined,VM CSA Eng,Margined,cpty43,3440000,400000,USD
17989_A_VM CSA Eng,CSA,Margined,cpty44,3384153,500000,USD
1816_A_VM CSA Eng,VM CSA Eng,Margined,cpty45,-5290000,200000,USD
185_A_Unmargined,VM CSA Eng,Margined,cpty46,1229204,10000000,INR
18670_A_VM CSA Eng,VM CSA NY,Margined,cpty47,-11450000,250000,USD
191_A_VM CSA Eng,CSA,Margined,cpty48,-420000,250000,USD
199_C_VM CSA NY,VM CSA Eng,Margined,cpty49,4400000,100000,USD
2137_G_CSA,VM CSA Eng,Margined,cpty50,960000,250000,USD
2240_A_Unmargined,CSA,Margined,cpty51,-5410000,1000000,USD
2262_A_Unmargined,VM CSA Eng,Margined,cpty52,100000,50000,USD
2308_A_Unmargined,CSA,Margined,cpty53,-650000,250000,USD
2482_A_Unmargined,VM CSA Eng,Margined,cpty54,-2350175,250000,EUR
270_C_CSA,CSA,Margined,cpty55,-6690000,1000000,USD
2700_A_Unmargined,VM CSA Eng,Margined,cpty56,4630000,100000,USD
271_I_VM CSA NY,VM CSA Eng,Margined,cpty57,270000,250000,USD
278_B_VM CSA Eng,VM CSA NY,Margined,cpty58,14690000,250000,USD
282_C_IM CSD Eng,VM CSA Eng,Margined,cpty59,-7670000,250000,USD
2924_A_CSA,VM CSA Eng,Margined,cpty60,11440000,250000,USD
2953_A_Unmargined,CSA,Margined,cpty61,13782014,1000000,USD
3067_A_VM CSA Eng,VM CSA Eng,Margined,cpty62,-11500000,250000,USD
3199_A_Unmargined,VM CSA Eng,Margined,cpty63,896927,250000,EUR
3349_A_Unmargined,CSA,Margined,cpty64,-690000,250000,USD
3464_A_Unmargined,VM CSA NY,Margined,cpty65,-6170000,250000,USD
3627_A_Unmargined,CSA,Margined,cpty66,347162,4069500,MYR
3651_A_Unmargined,CSA,Margined,cpty67,1380000,1000000,USD
3851_B_VM CSA Eng,VM CSA Eng,Margined,cpty68,-6164951,500000,EUR
3908_A_VM CSA NY,CSA,Margined,cpty69,20000,250000,USD
4040_A_Unmargined,CSA,Margined,cpty70,13601493,500000,EUR
4044_A_Unmargined,VM CSA Eng,Margined,cpty71,-1610000,250000,USD
4467_A_Unmargined,CSA,Margined,cpty72,6440000,200000,USD
4511_C_VM CSA Eng,VM CSA Eng,Margined,cpty73,30000,250000,USD
475_B_VM CSA NY,CSA,Margined,cpty74,11758820,250000,USD
4983_A_VM CSA Eng,VM CSA Eng,Margined,cpty75,23400000,250000,USD
525_C_IM CSD Eng,VM CSA NY,Margined,cpty76,0,250000,USD
5273_A_CSA,CSA,Margined,cpty77,255685,100000,USD
528_A_VM CSA NY,VM CSA Eng,Margined,cpty78,110000,100000,USD
5333_A_Unmargined,CSA,Margined,cpty79,740000,500000,USD
553_I_VM CSA Eng,CSA,Margined,cpty13,3620000,1000000,USD
5597_A_Unmargined,CSA,Margined,cpty14,-50910000,250000,USD
578_A_Unmargined,VM CSA NY,Margined,cpty15,-570000,400000,USD
588_A_CSA,VM CSA NY,Margined,cpty16,-9360000,250000,USD
6318_A_Unmargined,VM CSA Eng,Margined,cpty17,-2244823,25000000,INR
739_A_Unmargined,VM CSA Eng_3,Margined,cpty18,4660011,100000,USD
966_A_Unmargined,VM CSA Eng,Margined,cpty19,-1360000,250000,USD
10738_A_Unmargined,VM CSA Eng,Margined,cpty20,-19618848,250000,EUR
1161_A_Unmargined,CSA,Margined,cpty21,-1080000,250000,USD
12105_A_Unmargined,VM CSA Eng,Margined,cpty22,3510000,250000,USD
12901_A_CSA,VM CSA NY,Margined,cpty23,-1090000,250000,USD
13638_A_Unmargined,VM CSA Eng,Margined,cpty24,794745,100000,EUR
137_A_Unmargined,VM CSA Eng,Margined,cpty25,-28309524,250000,USD
14674_A_Unmargined,CSA,Margined,cpty26,12931637,2000000,EUR
150_A_Unmargined,VM CSA Eng,Margined,cpty27,8991972,100000,EUR
15340_A_Unmargined,VM CSA Eng,Margined,cpty28,1466434,250000,GBP
15849_A_VM CSA Eng,CSA,Margined,cpty29,-400000,100000,USD
16721_A_Unmargined,VM CSA Eng,Margined,cpty30,-990000,0,USD
17_C_CSA,CSA,Margined,cpty31,1740000,250000,USD
17037_A_Unmargined,VM CSA NY,Margined,cpty32,4230000,250000,USD
17187_A_Unmargined,CSA,Margined,cpty33,-2400000,1000000,USD
